@relation 'testingdatasetfinal-weka.filters.unsupervised.attribute.Remove-R1-3,12-13'

@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute percent_change_price numeric
@attribute percent_change_volume_over_last_wk numeric
@attribute previous_weeks_volume numeric
@attribute percent_change_next_weeks_price numeric
@attribute days_to_next_dividend numeric
@attribute percent_return_next_dividend numeric
@attribute result numeric
@attribute class numeric

@data
17.13,17.8,17.02,17.47,103320396,1.98482,8.131839,95550392,2.87026,41,0.171723,0.89,1
17.42,18.47,17.42,17.92,129237024,2.87026,25.083748,103320396,-8.52713,34,0.167411,-11.4,0
18.06,18.19,16.38,16.52,213061090,-8.52713,64.860721,129237024,3.72861,27,0.181598,12.26,1
16.36,16.97,15.88,16.97,85235391,3.72861,-59.994858,213061090,0.354191,21,0.176783,-3.37,0
16.94,17.24,16.66,17,90831895,0.354191,6.565939,85235391,-0.694847,13,0.176471,-1.05,0
17.27,17.96,16.83,17.15,225053559,-0.694847,147.769309,90831895,-0.34965,6,0.174927,0.35,1
17.16,17.62,16.75,17.1,111630753,-0.34965,-50.398139,225053559,-4.35294,82,0.175439,-4,0
17,17.29,16.26,16.26,118281015,-4.35294,5.957374,111630753,3.25815,75,0.184502,7.61,1
15.96,16.48,15.83,16.48,77236662,3.25815,-34.700711,118281015,-4.8416,68,0.182039,-8.1,0
16.73,16.83,15.77,15.92,77152591,-4.8416,-0.108849,77236662,-4.0201,61,0.188442,0.82,1
15.92,16.03,15.17,15.28,94970970,-4.0201,23.094985,77152591,-3.72793,54,0.196335,0.29,1
15.29,15.5,14.59,14.72,111273573,-3.72793,17.16588,94970970,3.81731,47,0.203804,7.55,1
14.67,15.6,14.56,15.23,99423717,3.81731,-10.649299,111273573,7.16163,40,0.19698,3.34,1
45.54,46.29,45.11,45.36,28738689,-0.395257,-6.687515,30798332,1.46898,5,0.396825,1.86,1
45.61,46.49,45.1,46.28,31114741,1.46898,8.267781,28738689,-0.237274,82,0.388937,-1.71,0
46.36,46.95,45.6,46.25,29090940,-0.237274,-6.504316,31114741,2.74809,75,0.389189,2.99,1
45.85,47.48,45.27,47.11,22929313,2.74809,-21.18057,29090940,4.00509,69,0.382084,1.26,1
47.19,49.15,46.77,49.08,32470319,4.00509,41.610518,22929313,1.68118,61,0.366748,-2.32,0
49.37,50.47,49.08,50.2,43997724,1.68118,35.50136,32470319,-1.13863,54,0.358566,-2.82,0
50.06,50.46,49.22,49.49,35427164,-1.13863,-19.479553,43997724,3.58155,47,0.36371,4.72,1
49.42,51.97,49.17,51.19,36565612,3.58155,3.213489,35427164,0.768624,40,0.351631,-2.81,0
50.74,51.38,49.79,51.13,26359875,0.768624,-27.910751,36565612,-4.10586,33,0.352044,-4.87,0
51.39,51.7,49.04,49.28,25215640,-4.10586,-4.340821,26359875,-2.82923,26,0.36526,1.28,1
49.13,49.38,47.33,47.74,33828918,-2.82923,34.158475,25215640,1.12594,19,0.377042,3.96,1
47.96,49.14,46.92,48.5,37705374,1.12594,11.459001,33828918,-0.020682,12,0.371134,-1.15,0
48.35,50.15,48.15,48.34,34877916,-0.020682,-7.49882,37705374,7.93978,5,0.372362,7.96,1
73.5,74.85,73.03,74.01,20590618,0.693878,-15.693574,24423545,0.122649,40,0.567491,-0.57,0
73.38,74.85,72.71,73.47,21220138,0.122649,3.057315,20590618,-1.42566,33,0.571662,-1.55,0
73.65,74.28,70.88,72.6,19492289,-1.42566,-8.142497,21220138,3.74037,26,0.578512,5.17,1
72.72,75.44,71.75,75.44,16947409,3.74037,-13.055829,19492289,5.65488,20,0.556734,1.91,1
75.51,80.34,74.68,79.78,30503034,5.65488,79.986416,16947409,-1.29434,12,0.526448,-6.95,0
80.35,80.65,78.09,79.31,25394946,-1.29434,-16.746164,30503034,-0.353045,5,0.529568,0.94,1
