@relation 'trainingdatasetfinal-weka.filters.unsupervised.attribute.Remove-R1-3,12-13-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute percent_change_price numeric
@attribute percent_change_volume_over_last_wk numeric
@attribute previous_weeks_volume numeric
@attribute percent_change_next_weeks_price numeric
@attribute days_to_next_dividend numeric
@attribute percent_return_next_dividend numeric
@attribute result numeric
@attribute class numeric

@data
15.82,16.72,15.78,16.42,239655616,3.79267,4.551429,127300002.224242,-4.42849,26,0.182704,-8.22116,0
16.71,16.71,15.64,15.97,242963398,-4.42849,1.380223,239655616,-2.47066,19,0.187852,1.95783,1
16.19,16.38,15.6,15.79,138428495,-2.47066,-43.024959,242963398,1.63831,12,0.189994,4.10897,1
15.87,16.63,15.82,16.13,151379173,1.63831,9.3555,138428495,5.93325,5,0.185989,4.29494,1
16.18,17.39,16.18,17.14,154387761,5.93325,1.987452,151379173,0.230814,97,0.175029,-5.702436,0
17.33,17.48,16.97,17.37,114691279,0.230814,-25.712195,154387761,-0.632547,90,0.172712,-0.863361,0
17.39,17.68,17.28,17.28,80023895,-0.632547,-30.226696,114691279,-1.76678,83,0.173611,-1.134233,0
16.98,17.15,15.96,16.68,132981863,-1.76678,66.177694,80023895,-1.36823,76,0.179856,0.39855,1
16.81,16.94,16.13,16.58,109493077,-1.36823,-17.66315,132981863,-3.31725,69,0.180941,-1.94902,0
16.58,16.75,15.42,16.03,114332562,-3.31725,4.4199,109493077,1.00313,62,0.187149,4.32038,1
15.95,16.33,15.43,16.11,130374108,1.00313,14.030601,114332562,4.33455,55,0.18622,3.33142,1
16.38,17.24,16.26,17.09,95550392,4.33455,-26.710607,130374108,1.98482,48,0.175541,-2.34973,0
43.3,45.6,43.11,44.36,45102042,2.44804,4.551429,127300002.224242,4.63801,89,0.405771,2.18997,1
44.2,46.25,44.01,46.25,25913713,4.63801,-42.544258,45102042,-0.065175,82,0.389189,-4.703185,0
46.03,46.71,44.71,46,38824728,-0.065175,49.823099,25913713,-4.7557,75,0.391304,-4.690525,0
46.05,46.27,43.42,43.86,51427274,-4.7557,32.460101,38824728,-0.70247,68,0.410397,4.05323,1
44.13,44.23,43.15,43.82,39501680,-0.70247,-23.18924,51427274,6.34668,61,0.410771,7.04915,1
43.96,46.79,43.88,46.75,43746998,6.34668,10.747183,39501680,-1.91728,54,0.385027,-8.26396,0
46.42,46.93,45.53,45.53,28564910,-1.91728,-34.704297,43746998,-3.13752,47,0.395344,-1.22024,0
44.94,45.12,43.01,43.53,39654146,-3.13752,38.821183,28564910,-0.022868,40,0.413508,3.114652,1
43.73,44.68,42.75,43.72,38985037,-0.022868,-1.687362,39654146,0.957592,33,0.411711,0.98046,1
43.86,45.54,43.53,44.28,37613429,0.957592,-3.518293,38985037,0.706794,26,0.406504,-0.250798,0
43.86,44.47,42.19,44.17,41757526,0.706794,11.0176,37613429,1.87709,19,0.407516,1.170296,1
44.75,45.61,44.1,45.59,30798332,1.87709,-26.244835,41757526,-0.395257,12,0.394823,-2.272347,0
66.15,70.1,66,69.38,36258120,4.88284,4.551429,127300002.224242,0.93633,33,0.605362,-3.94651,0
69.42,70.5,68.35,70.07,18834664,0.93633,-48.053942,36258120,1.15721,26,0.599401,0.22088,1
70.86,72.99,70.23,71.68,29594221,1.15721,57.126355,18834664,-3.2019,19,0.585938,-4.35911,0
71.52,72.82,69,69.23,34929673,-3.2019,18.028696,29594221,3.06093,12,0.606673,6.26283,1
69.26,71.64,69.12,71.38,22770062,3.06093,-34.811694,34929673,0.99398,5,0.5884,-2.06695,0
71.43,72.99,71.15,72.14,21809411,0.99398,-4.218921,22770062,0.467675,89,0.582201,-0.526305,0
